AREAKEY,TRCTPOP0,EDUC160,MDHHY0,MDVALHS0,MDGRENT0
06037101110,4500,564,41577,152300,701
06037101122,690,128,53481,240000,950
06037101210,5993,566,31481,137800,614
06037101220,3101,236,27585,143500,638
06037101300,3962,872,61461,229393,923
06037101400,3761,800,49180,220410,796
06037102103,2138,420,62490,196745,1052
06037102104,2984,608,63388,198499,1066
06037102105,877,183,63937,199558,1075
06037102107,4633,646,48254,212442,709
06037103101,1209,177,59861,201800,1163
06037103102,4462,497,48485,161700,740
06037103200,4778,891,55909,221959,707
06037103300,2454,456,73835,329694,1257
06037103400,4067,610,47205,183100,727
06037104103,3840,303,56823,160900,1147
06037104105,5229,295,33641,129900,422
06037104108,1175,42,35232,156427,720
06037104124,3955,495,51325,162364,857
06037104201,4791,61,43417,137600,914
06037104203,1638,57,36683,148600,594
06037104204,6171,215,36683,148600,594
06037104310,5270,67,40615,144043,873
06037104320,5748,91,37207,138984,527
06037104401,2933,32,39785,142714,677
06037104403,3502,48,39319,141614,719
06037104404,2427,30,39129,142260,680
06037104500,2529,38,42944,142800,754
06037104610,3600,67,35846,136100,635
06037104620,3417,17,34524,137100,594
06037104701,4168,6,20523,135300,397
06037104703,2132,68,32208,141000,710
06037104704,3030,97,32208,141000,710
06037104810,5101,67,41023,134000,940
06037104821,2819,76,30870,154200,702
06037104822,3144,75,33280,151924,712
06037106010,3968,480,50707,200166,857
06037106020,5524,360,55282,173400,743
06037106111,3868,518,59494,180102,1115
06037106112,4771,346,55999,158573,1064
06037106113,3125,181,57466,164200,1130
06037106114,5097,209,38179,125509,693
06037106403,3619,138,51176,151000,973
06037106405,2481,220,50422,182401,824
06037106406,4507,397,50407,181473,823
06037106407,2568,125,31923,107453,646
06037106408,2558,127,31855,107260,646
06037106510,3581,427,59131,244505,902
06037106520,5717,198,44267,152500,817
06037106603,3065,1180,100067,342317,1719
06037106604,4484,350,50054,177700,644
06037106641,2356,734,88122,295000,1667
06037106642,3039,932,70102,269320,1488
06037106643,4073,1270,104406,454042,1773
06037106645,1564,426,75332,270666,1282
06037106646,1909,346,66236,218676,1224
06037106648,2594,121,53148,174200,634
06037106649,3395,166,52883,174425,635
06037107010,3225,51,41658,153100,902
06037107020,4258,156,46786,150300,747
06037108101,2292,671,63125,310400,1755
06037108102,3622,1306,87110,337685,1661
06037108103,3531,1326,110369,446006,1998
06037108104,1719,646,109689,338248,1684
06037108201,1507,636,101089,360579,1755
06037108202,3208,1354,101042,360697,1755
06037109100,3811,359,56493,182370,1045
06037109200,2055,339,65504,208349,1271
06037109300,2809,372,59851,187081,1206
06037109400,3505,223,50997,168406,947
06037109500,3240,98,42191,150115,771
06037109601,5660,566,54936,174276,1023
06037109603,3207,367,53404,184025,811
06037109604,3402,389,56228,183629,882
06037109700,3909,505,58363,188539,1137
06037109800,4566,541,49119,187726,919
06037111100,2364,345,62321,196300,1199
06037111201,3026,576,61943,235579,1523
06037111202,4847,1046,54594,212045,908
06037111204,5785,2027,104830,371498,2001
06037111205,2348,703,61979,269041,1163
06037111206,4920,1464,68622,272200,1370
06037111301,6714,1206,44028,212700,799
06037111302,3790,1150,49907,263300,788
06037111400,6947,1216,46842,220300,716
06037113101,2399,732,93392,360300,1225
06037113102,3925,1202,93628,360531,1241
06037113211,3838,1212,69837,218700,1517
06037113212,3050,630,66130,234500,901
06037113213,4394,900,57558,233800,857
06037113231,1911,544,82681,291903,910
06037113232,3475,905,66731,293200,1364
06037113233,6222,576,33929,190400,697
06037113234,4224,435,29028,203700,648
06037113235,614,140,59231,294000,898
06037113237,2041,467,59231,294000,898
06037113301,1890,610,110360,413600,2001
06037113303,3858,726,57379,230884,1108
06037113321,5385,920,45906,162200,753
06037113322,3939,1156,76041,278100,1579
06037113401,5037,1093,64355,194900,911
06037113421,5713,692,40549,187500,769
06037113422,5948,692,48906,182800,726
06037115101,4771,1736,100681,405900,1256
06037115103,4524,970,42095,264874,788
06037115104,3431,611,41267,308900,846
06037115201,4878,1165,37284,249900,764
06037115202,3929,814,42463,199500,706
06037115301,3636,1111,56799,304200,788
06037115302,4802,192,30417,190200,636
06037115401,5489,874,42583,305700,736
06037115403,2552,266,37321,195300,723
06037115404,3458,361,37321,195300,723
06037117101,2675,387,47108,176100,750
06037117102,3567,518,47108,176100,750
06037117201,1813,223,45305,218500,647
06037117202,4169,514,45305,218500,647
06037117301,3585,596,56371,210800,1335
06037117302,4613,1027,65577,243600,957
06037117303,3153,515,56927,207200,1334
06037117404,3965,807,56779,219500,785
06037117405,3553,50,25545,97900,596
06037117407,2378,56,24828,170800,595
06037117408,4516,108,24828,170800,595
06037117510,4136,187,22181,123500,585
