AREAKEY,TRCTPOP1,EDUC161A,MDHHY1A,MDVALHS1A,MDGRENT1A
06037101110,4731,644,51641,430800,1044
06037101122,3664,947,80489,530100,1370
06037101210,5990,623,39433,320700,1113
06037101220,3363,381,45687,423900,899
06037101300,4199,917,60612,536000,1211
06037101400,3903,1030,72188,489800,1196
06037102103,1740,615,74868,604900,1101
06037102104,3648,957,85492,492500,2001
06037102105,1731,108,51705,442400,1058
06037102107,3851,644,54958,595100,629
06037103101,2670,485,64792,463500,2001
06037103102,4751,914,65080,426600,1134
06037103200,6150,1148,68785,492200,994
06037103300,3819,853,95305,771800,1838
06037103400,6143,1125,53750,404700,1047
06037104103,4085,417,88167,412500,1488
06037104105,5412,422,39531,256200,789
06037104108,5256,159,40893,421900,1140
06037104124,4175,629,75179,424000,1154
06037104201,4780,39,42143,340300,826
06037104203,5210,131,36750,354900,1009
06037104204,3375,268,46923,97200,1154
06037104310,4921,93,58634,369700,1531
06037104320,5998,116,47842,381700,1138
06037104401,3357,103,56406,401500,813
06037104403,3282,91,60260,304800,1176
06037104404,3236,84,35982,413200,977
06037104500,3293,130,45370,372300,1314
06037104610,3672,20,38125,394800,1277
06037104620,3539,40,40500,366400,1082
06037104701,4208,43,29597,395100,752
06037104703,2397,86,45167,255600,1163
06037104704,4219,327,47099,267000,1335
06037104810,5328,69,47065,391900,1239
06037104821,3514,144,44957,389700,1253
06037104822,2277,85,31325,291700,1253
06037106010,3152,326,93108,501600,1444
06037106020,5557,610,81797,482400,2001
06037106111,4334,682,80536,369100,1968
06037106112,5969,1124,86875,441900,1704
06037106113,3493,283,60125,403600,1348
06037106114,5880,222,47819,332500,1135
06037106403,3825,194,57171,374100,1556
06037106405,3966,350,56032,355800,1172
06037106406,4962,605,73705,400800,1115
06037106407,2933,139,33869,272500,1036
06037106408,3463,100,43409,300000,1086
06037106510,5108,675,72950,529000,1376
06037106520,5837,242,52574,283200,1359
06037106603,2979,1011,110395,665500,2001
06037106604,5020,258,46635,477300,1114
06037106641,2317,803,102875,651500,2001
06037106642,3236,640,75919,620700,1480
06037106643,4320,1432,114583,888800,2001
06037106645,3389,1044,87778,636200,1521
06037106646,3237,1020,108545,535600,1436
06037106648,3890,79,45368,435800,888
06037106649,2853,450,74884,496800,1632
06037107010,3247,74,61071,376400,1327
06037107020,5404,369,60212,372600,1452
06037108101,2230,727,110263,631600,2001
06037108102,3430,1564,101712,650400,2001
06037108103,3256,1485,136641,805100,2001
06037108104,1698,738,125081,659900,0
06037108201,5551,2300,111953,677500,2001
06037108202,4895,1505,123052,902300,1842
06037109100,2492,320,44955,339800,1260
