AREAKEY,SHR0D,SHRWHT0,SHRBLK0,SHRAMI0N,SHRASN0N,SHRHIP0N,SHRHSP0,ADULT0,CHILD0,OLD0,NUMHHS0,NONFAM0,WNONFAM0,WRCNTY0D,WRKSM0,WKHOME0,COMMUT20,WM16P0,WMEMP0,WF16P0,WFEMP0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,TOTHSUN0,VACHU0,RNTOCC0
06037101110,4500,0.747333,0.014444,62,417,1,0.281333,0.739556,0.260444,0.088000,1637,556,465,2012,0.976640,79,1039,1261,802,1243,671,150,0.131091,0.095907,7300.000000,8338.709677,48221,10574.137931,7473.333333,1669,43,804
06037101122,690,0.843478,0.004348,0,57,2,0.147826,0.773913,0.224638,0.113043,253,69,66,317,0.977918,11,130,235,165,226,119,20,0.039039,0.083004,7621.333333,8648.625000,61714,11733.620690,33019.166667,259,7,36
06037101210,5993,0.635742,0.070749,63,407,9,0.407809,0.697480,0.302520,0.047055,2058,609,495,2383,0.974822,42,1109,1342,838,1352,690,158,0.262712,0.182216,5999.466667,8650.819672,33094,9192.349727,7755.844156,2171,78,1849
06037101220,3101,0.674621,0.017736,10,142,17,0.408255,0.729765,0.270235,0.068688,1259,607,530,1223,0.975470,19,622,749,492,749,368,48,0.204979,0.162828,5272.195122,7951.666667,32121,10376.126126,7578.400000,1281,59,759
06037101300,3962,0.867239,0.009339,10,334,8,0.090611,0.792277,0.207219,0.164816,1483,374,335,1872,0.981838,82,956,1327,822,1378,718,165,0.034881,0.071477,9707.235849,10994.950000,67293,13909.019022,25312.251880,1522,38,219
06037101400,3761,0.827174,0.011167,70,252,2,0.178676,0.769210,0.230790,0.125764,1410,460,446,1769,0.950820,69,843,1200,812,1183,643,117,0.034036,0.031915,6657.866667,7189.250000,54875,11066.473881,17671.253807,1454,58,373
06037102103,2138,0.717493,0.016838,3,248,2,0.336763,0.785781,0.213751,0.121609,737,209,174,961,0.973985,31,534,580,350,596,284,86,0.089817,0.073270,5417.685185,6728.766667,67736,12765.579787,16120.107438,753,13,162
06037102104,2984,0.727547,0.017091,3,353,3,0.318029,0.791555,0.208110,0.125670,1042,298,250,1354,0.974151,46,753,826,499,851,407,119,0.084337,0.071977,5348.906667,6504.325581,69186,12851.881041,16207.178161,1064,18,218
06037102105,877,0.735462,0.017104,1,105,1,0.304447,0.795895,0.204105,0.127708,309,88,75,401,0.975062,13,222,246,148,253,121,35,0.080891,0.071197,5310.681818,6829.083333,70100,12971.975000,16315.480769,315,5,62
06037102107,4633,0.767106,0.020073,49,314,1,0.300453,0.749622,0.249946,0.129074,1616,502,439,2067,0.965167,66,1036,1293,838,1446,761,126,0.144497,0.096535,6217.371795,6065.193548,51790,11286.822857,15135.662551,1667,52,557
06037103101,1209,0.815550,0.021505,9,116,0,0.173697,0.736973,0.262200,0.135649,425,106,97,561,0.973262,31,232,382,261,378,212,53,0.028950,0.068235,5014.758621,6588.611111,71417,12744.675000,17026.573034,437,10,58
