AREAKEY,TRCTPOP0,EDUC160,MDHHY0,MDVALHS0,MDGRENT0
34003001000,6683,2724,105680,422028,1776
34003002100,2183,961,130740,1000001,1844
34003002200,4851,1023,74423,250200,883
34003002300,5751,1669,92447,345100,1086
34003003100,5057,1021,65750,181600,964
34003003200,4484,778,46330,170200,832
34003003300,6704,1413,69768,184469,1037
34003003401,2671,659,79032,186100,1000
34003003402,3258,927,67000,188400,1102
34003003500,4101,964,51548,198800,801
34003004001,3571,680,59813,166700,819
34003004002,4678,892,59813,166700,819
34003005000,5948,907,55035,201855,839
34003006100,6506,1364,45272,190000,879
34003006201,5851,1837,50318,256800,793
34003006202,3088,970,50318,256800,793
34003006300,7493,1496,42253,250700,897
34003007001,3785,1181,80508,310800,1156
34003007002,4598,1655,90280,378500,1215
34003008000,7734,2704,84692,281100,1571
34003009100,4845,1916,103286,360300,2001
34003009200,3390,1288,101836,378400,1625
34003010100,6265,1345,68125,201300,960
34003010200,4017,638,54750,183900,854
34003010300,7193,1358,68084,195688,738
34003011100,4412,789,48125,185200,821
34003011200,4683,843,51175,190700,878
34003011300,4145,452,56078,179300,1003
34003011400,5685,701,55064,178000,926
34003012001,7909,1488,50163,196200,817
34003012002,805,152,50163,196200,817
34003013001,3985,1618,63160,283438,1205
34003013002,3787,1552,63590,284507,1211
34003014000,7177,2074,74556,260600,1096
34003015100,2436,1260,132867,737300,768
34003015200,6188,1570,61715,188397,868
34003015300,6199,677,50111,166900,757
34003015400,5237,490,35898,164000,739
34003015500,6093,2610,85888,396100,1146
34003016000,5312,2054,106478,507100,2001
34003017100,7199,3044,73250,247100,796
34003017200,5827,1488,60159,190800,919
34003017300,5719,1620,82050,213200,996
34003017400,5458,1910,85351,226400,996
34003017500,7434,2000,65754,206700,1165
34003018100,7015,599,35427,171000,842
34003018200,6240,867,45593,187100,848
34003019102,2932,1123,52500,290000,975
34003019103,4381,1700,50632,247000,1158
34003019104,3165,1229,50632,247000,1158
34003019202,1358,415,42357,243900,1032
34003019203,2676,862,52015,263500,858
34003019204,4165,1342,52015,263500,858
34003019303,5051,1641,58271,274300,1184
34003019304,3265,1061,58271,274300,1184
34003019305,4884,2243,82301,368798,1450
