AREAKEY,TRCTPOP1,EDUC161A,MDHHY1A,MDVALHS1A,MDGRENT1A
34003001000,6505,2659,131563,741400,2001
34003002100,1849,988,172054,1000001,1977
34003002200,5171,1197,87270,530300,2001
34003002300,5711,2054,102132,720800,1880
34003003100,5043,1314,91106,367300,1115
34003003200,4604,1135,57621,352600,1134
34003003300,6616,1674,95948,384000,1595
34003003401,2766,871,102841,397000,1284
34003003402,3686,1096,102135,404300,972
34003003500,4049,958,53622,399300,1145
34003004001,3215,482,66681,392000,1210
34003004002,4972,1072,82100,361600,1115
34003005000,6127,1231,62255,421700,1156
34003006100,6538,1761,53862,466500,1215
34003006201,4493,1419,75593,522900,1270
34003006202,4470,2191,86406,416200,1455
34003006300,8093,1988,68372,390900,1189
34003007001,3817,1415,102348,611400,1626
34003007002,4556,1838,124865,792500,1690
34003008000,8573,3446,105625,592800,2001
34003009100,4881,2140,147714,744300,2001
34003009200,3382,1512,135694,737000,2001
34003010100,6224,1519,86182,403500,1469
34003010200,4100,928,63750,394200,1131
34003010300,7155,1692,91283,399200,1107
34003011100,4249,744,68990,385400,1064
34003011200,4807,782,55856,403300,1208
34003011300,4282,821,80586,398800,1286
34003011400,6065,926,64655,422800,1442
34003012001,5504,1222,61787,408600,1294
34003012002,3409,818,67284,351100,1332
34003013001,5626,3232,88147,540500,2001
34003013002,5887,2757,81586,564600,1614
34003014000,7401,1971,99292,505300,2001
34003015100,2445,1255,129519,1000001,1220
34003015200,6070,1704,72284,416900,1178
34003015300,6124,1072,58048,372000,975
34003015400,6570,977,47905,389800,1215
34003015500,5938,2895,98750,619700,1416
34003016000,5281,2496,101964,1000001,2001
34003017100,7049,3151,99000,490000,1164
34003017200,6021,1737,69847,382300,1201
34003017300,6056,1747,96319,404500,1570
34003017400,5366,1878,111014,466900,1511
34003017500,7965,2516,91858,408100,1386
34003018100,7284,591,36875,390100,1065
34003018200,6551,1138,53936,458800,1285
34003019102,2859,1129,51772,264000,1557
34003019103,3662,1629,62917,121400,2001
34003019104,3935,1546,82170,288700,1572
34003019202,1483,486,66172,303300,1075
34003019203,2862,1390,67813,224500,1359
34003019204,3697,1208,43021,270900,1087
34003019303,5516,2256,81010,416900,1572
34003019304,2537,613,68372,568400,1471
34003019305,6654,3493,88438,494000,2001
34003019306,2140,910,111875,831300,2001
34003020100,4078,1441,124048,759600,2001
34003020200,6512,3003,183993,1000001,1950
34003021100,6685,674,51643,352500,1148
34003021200,5224,649,54659,409300,1079
34003021300,4599,756,56528,349600,1178
34003021400,4515,560,48517,383100,1106
34003021500,4854,507,46716,386300,1179
34003021600,4610,467,52063,378700,1129
34003022100,4007,1794,150372,627800,1288
34003022200,7594,3042,133616,614100,2001
34003023100,2991,492,51307,282300,1173
34003023200,6768,2011,56628,345800,1163
34003023301,2724,898,84706,433800,2001
34003023302,4937,2299,77288,332100,1490
34003023401,3649,1493,73452,225000,1251
34003023402,5562,1235,62266,412200,1189
34003023501,3646,569,43726,290900,997
34003023502,4254,897,55082,270700,1313
34003023601,3195,348,30913,372100,1142
34003023602,5284,447,44783,404600,1123
34003024100,5750,2077,125435,802300,1398
34003024200,4664,1922,115875,669700,1298
34003025100,6074,1577,80040,467000,1246
34003025200,5768,1467,98560,468800,1256
34003026100,4625,1509,116629,562800,1003
34003026200,5594,1748,115278,582300,1382
34003027000,4078,1925,155030,814400,2001
34003028001,5166,1924,58345,444500,1205
34003028002,3771,1720,93511,596500,1384
34003029100,4184,1122,54145,337500,1134
34003029200,6442,1120,60564,393600,1207
34003030100,5142,779,53681,410400,1132
34003030200,7252,682,47930,432900,1163
34003030300,4460,889,61671,392800,1153
34003030400,7282,875,57221,415300,1050
34003031100,4985,1152,67601,419800,1216
34003031200,4689,921,62938,399300,1079
34003031300,5341,1156,72903,426900,1209
34003031400,5539,1056,69565,410700,1193
34003032102,6014,2459,124338,760200,1666
34003032103,4721,1974,80161,380100,1775
34003032104,4879,478,75469,423300,886
34003032201,5366,2541,97833,624500,1577
34003032202,4910,1782,95517,455400,1407
34003033100,3615,888,84720,401600,1696
34003033200,2502,784,80833,429900,1163
34003033300,3438,1115,73750,414200,1164
34003034000,7128,2179,87905,484100,1502
34003035100,7844,2869,111633,669600,1537
34003035200,5730,2362,150404,788300,1776
34003036100,2377,429,74545,475900,1397
34003036200,2708,384,53500,333200,1017
34003037100,5505,1452,96750,453600,1362
34003037201,4111,1362,88194,431900,1583
34003037202,6725,1977,60579,440800,1111
34003038100,5455,1152,65329,387800,978
34003038200,4104,1198,70219,390500,1130
34003038300,5833,1161,75338,385700,1254
34003039100,4118,1327,111816,485300,1391
34003039200,5790,1701,108044,488400,2000
34003039300,2846,991,120679,524200,1682
34003040001,3514,1596,158542,666200,0
34003040002,4464,1554,97140,556600,1520
34003041100,5282,1760,46601,535700,1204
34003041200,4679,1250,68750,619600,1191
34003041301,5269,1305,54318,554700,1285
34003041302,4392,1648,61964,566200,1676
34003042100,7402,2487,96042,556300,2001
34003042301,4312,1528,113750,568200,2001
34003042302,5559,1481,125700,603700,1893
34003042400,4472,1526,114750,620000,1560
34003042500,4597,1555,92226,650400,1307
34003043001,3955,1535,120260,626100,1816
34003043002,4690,1362,94803,542900,1222
34003044100,6007,2394,114688,678100,423
34003044201,3641,1601,138487,622700,1625
34003044202,4825,1875,98800,457700,1391
34003045100,8170,1833,56845,562400,1398
34003045200,2862,725,71563,550100,1158
34003046100,4036,1038,65923,380000,1117
34003046200,4256,1102,71750,389800,1128
34003046300,4437,900,49078,372300,1117
34003047100,6005,2904,138672,623400,2001
