AREAKEY,SHR0D,SHRWHT0,SHRBLK0,SHRAMI0N,SHRASN0N,SHRHIP0N,SHRHSP0,ADULT0,CHILD0,OLD0,NUMHHS0,NONFAM0,WNONFAM0,WRCNTY0D,WRKSM0,WKHOME0,COMMUT20,WM16P0,WMEMP0,WF16P0,WFEMP0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,TOTHSUN0,VACHU0,RNTOCC0
34003001000,6683,0.920545,0.006285,0,457,0,0.019752,0.698189,0.301511,0.141254,2108,320,320,2939,0.636611,135,1523,2044,1532,2396,1234,182,0.018173,0.012334,6416.346154,6000.200000,113379,15151.037344,19367.720588,2138,32,199
34003002100,2183,0.765460,0.014659,0,444,0,0.014201,0.754924,0.245076,0.143839,708,77,75,992,0.442540,70,338,647,471,667,291,85,0.061842,0.016949,6291.666667,6291.666667,134068,16614.545455,28189.473684,730,22,73
34003002200,4851,0.829314,0.016491,5,633,0,0.049680,0.772624,0.227376,0.171099,1656,358,340,2461,0.704185,45,1399,1547,1073,1731,1011,260,0.050593,0.062198,6000.970874,6679.710145,82185,14171.537002,16872.779370,1676,27,303
34003002300,5751,0.794123,0.013389,0,1084,1,0.026604,0.731525,0.268475,0.153365,1843,264,259,2504,0.663738,119,1108,1637,1184,1885,893,179,0.049103,0.020076,5256.756757,8300.000000,100329,14240.137615,20819.366197,1888,31,272
34003003100,5057,0.682816,0.055567,26,1015,0,0.158197,0.766660,0.233340,0.138224,1725,429,405,2604,0.667435,68,1340,1303,953,1503,922,257,0.045093,0.045217,6080.769231,6629.090909,79287,11946.985447,16126.582278,1771,43,308
34003003200,4484,0.649866,0.065343,11,879,7,0.205620,0.778100,0.221900,0.126673,1696,591,513,2281,0.723367,11,1188,1134,841,1243,770,201,0.045790,0.041863,3781.690141,5214.285714,57031,12213.808463,14250.655022,1731,30,913
34003003300,6704,0.649016,0.067870,2,1412,0,0.152745,0.742989,0.256862,0.141408,2174,438,397,3291,0.622303,77,1692,1657,1213,1835,1052,390,0.035474,0.017939,10584.307692,11999.806452,74467,14587.449541,18178.099788,2212,40,334
34003003401,2671,0.727069,0.054287,1,476,0,0.110820,0.735680,0.264320,0.114189,844,140,122,1429,0.696991,41,775,698,549,786,472,150,0.013493,0.035545,5656.666667,4440.909091,86408,14722.513089,15612.345679,853,16,46
34003003402,3258,0.638428,0.073972,7,751,0,0.124923,0.736955,0.263045,0.178023,1074,195,180,1420,0.730282,33,748,825,480,872,414,169,0.009873,0.027002,4317.241379,5309.090909,73125,16136.666667,19324.789916,1086,9,128
34003003500,4101,0.523531,0.141673,0,1059,1,0.237503,0.747866,0.252134,0.129968,1474,436,315,1960,0.669898,7,904,784,509,906,427,176,0.044379,0.037992,5558.928571,6800.000000,63889,11889.327146,10374.895397,1504,27,868
34003004001,3571,0.761411,0.099132,0,277,0,0.199944,0.751890,0.247830,0.109213,1242,301,248,1812,0.614790,48,972,1011,744,1139,666,168,0.040123,0.036232,3926.000000,10216.666667,69841,12592.732143,16588.968085,1261,17,412
34003004002,4678,0.761437,0.099615,1,365,0,0.200299,0.752031,0.248183,0.109448,1629,395,327,2374,0.615417,64,1275,1326,976,1493,874,222,0.040266,0.036219,3922.542373,9559.523810,69841,12585.381471,16539.975709,1654,24,542
34003005000,5948,0.905178,0.014459,5,382,0,0.081708,0.813383,0.186449,0.147613,2400,788,755,3151,0.614725,93,1888,2138,1660,2354,1254,247,0.060534,0.048750,4185.752137,6475.421053,62040,11437.536903,11669.405473,2485,80,1025
34003006100,6506,0.822625,0.008607,14,857,1,0.135567,0.817246,0.182754,0.166769,2730,1027,896,3157,0.545455,126,1535,2042,1355,2408,1165,286,0.101739,0.045055,4337.398374,5707.954545,51269,11937.440191,14783.739837,2823,101,1408
34003006201,5851,0.802598,0.022731,9,800,4,0.123910,0.867373,0.132456,0.250726,2765,1155,954,2688,0.506324,135,1222,1887,1180,2196,923,180,0.091454,0.059675,6045.521212,7331.148148,61486,13759.571286,18719.195473,2858,90,1245
34003006202,3088,0.802785,0.022992,6,423,3,0.124352,0.867552,0.132772,0.250648,1460,610,504,1419,0.506695,72,646,996,624,1159,487,95,0.091853,0.060274,5980.556818,7328.701754,61486,13738.396226,18676.540856,1509,48,658
34003006300,7493,0.766182,0.031896,8,766,10,0.281730,0.806219,0.193647,0.115174,3031,1197,1032,3614,0.470393,50,1538,2310,1640,2243,1183,211,0.130767,0.026724,6066.962963,9728.071429,45531,12323.023985,9074.788779,3156,108,1993
34003007001,3785,0.813474,0.006077,0,683,0,0.041744,0.738441,0.261559,0.128666,1292,209,209,1731,0.610630,48,754,1111,801,1266,674,137,0.027477,0.010062,2407.692308,2407.692308,87431,14635.142857,17265.416667,1328,33,190
34003007002,4598,0.731840,0.003045,0,1120,0,0.037190,0.706612,0.293388,0.134189,1497,208,201,2080,0.542788,79,875,1190,886,1277,660,179,0.027186,0.025384,8571.052632,8571.052632,98059,13953.300733,22633.566434,1537,43,175
34003008000,7734,0.784717,0.002327,0,1598,0,0.039436,0.737135,0.262865,0.163951,2659,467,461,3596,0.600945,103,1535,2227,1597,2467,1288,315,0.030236,0.037984,3445.554455,4751.646154,96245,12522.935404,22130.602459,2698,71,284
34003009100,4845,0.777090,0.009288,2,1033,0,0.030341,0.711868,0.288132,0.140557,1603,210,210,2164,0.522643,114,888,1342,902,1436,765,149,0.016305,0.014972,7408.333333,10760.000000,113144,15230.803571,20154.516129,1634,33,131
34003009200,3390,0.893805,0.007080,0,328,0,0.035103,0.714749,0.285251,0.136873,1133,165,155,1559,0.652983,130,808,1080,798,1164,612,103,0.020059,0.021183,8812.500000,9727.272727,112500,14718.750000,25538.075314,1146,12,57
34003010100,6265,0.842458,0.011652,0,732,3,0.081085,0.751317,0.248683,0.151317,2232,496,480,2973,0.646821,30,1505,1966,1413,2124,1126,288,0.013282,0.051971,6602.586207,7044.736842,76704,12560.263930,14053.723404,2271,38,441
34003010200,4017,0.848892,0.018920,6,399,0,0.096341,0.771720,0.228280,0.149116,1588,537,529,2124,0.701977,43,1142,1290,965,1434,838,148,0.022654,0.079975,4419.685039,5332.941176,66721,12578.958785,13576.400000,1625,29,763
34003010300,7193,0.844293,0.012512,27,887,1,0.081746,0.755040,0.245099,0.156263,2531,526,509,3548,0.692221,83,1850,2308,1639,2434,1335,350,0.039916,0.042276,5556.186916,6187.228571,77398,12577.761298,15644.152216,2559,29,425
34003011100,4412,0.771759,0.009066,9,628,0,0.187670,0.807570,0.192430,0.189937,1725,517,476,1992,0.736948,14,1251,1277,798,1512,671,216,0.060970,0.044058,7563.157895,8250.793651,58611,11846.227929,10483.756345,1746,29,661
34003011200,4683,0.778774,0.034166,1,626,0,0.138586,0.786035,0.213965,0.166773,1753,479,410,2264,0.751767,10,1342,1396,975,1555,843,180,0.076824,0.070736,5776.612903,6827.631579,59792,11553.468697,13551.666667,1778,31,795
34003011300,4145,0.881785,0.016164,4,269,0,0.117973,0.790350,0.209650,0.163812,1515,388,381,2134,0.746017,10,1326,1408,1039,1550,830,206,0.072464,0.044884,8561.764706,9591.891892,61322,12473.570020,9811.153846,1558,37,421
34003011400,5685,0.884433,0.012489,0,327,2,0.109411,0.782410,0.217590,0.139314,2103,583,506,2823,0.752037,51,1750,1915,1395,2125,1180,319,0.049956,0.026629,5812.500000,8200.000000,58274,12333.983740,8629.819277,2160,56,914
34003012001,7909,0.802377,0.044253,19,880,1,0.103806,0.807182,0.192818,0.139967,3296,1359,1202,4043,0.573831,49,2108,2536,1745,2780,1547,280,0.095800,0.033070,7074.935780,6965.983051,59583,11200.262092,23283.601990,3422,115,1876
34003012002,805,0.803727,0.044720,2,90,1,0.104348,0.807453,0.193789,0.140373,336,139,123,412,0.575243,6,216,259,178,284,158,29,0.096010,0.035714,6532.750000,5968.571429,59583,11122.780220,22654.380952,348,12,192
34003013001,3985,0.685069,0.043664,1,959,6,0.108407,0.845671,0.154580,0.089084,1984,941,729,2362,0.412362,85,852,1147,909,1210,773,78,0.086891,0.033770,4252.641791,4721.024390,72227,12170.727273,17448.200000,2211,225,1102
34003013002,3787,0.684183,0.043570,0,918,5,0.104568,0.846052,0.153420,0.090045,1890,898,695,2249,0.411294,80,808,1089,863,1152,735,73,0.085888,0.033862,4253.000000,4747.179487,72915,12291.237226,17687.985075,2108,215,1041
